Time (ms),angleL,angleR,angDispL,angDispR,dThetaL,dThetaR
1710,352.9,26.2,0.5999999999999659,0.5999999999999979,0.5999999999999659,0.5999999999999979
1710,353.4,26.6,1.099999999999966,1.0,0.5,0.40000000000000213
1710,353.9,27.0,1.599999999999966,1.3999999999999986,0.5,0.3999999999999986
1710,354.4,27.3,2.099999999999966,1.6999999999999993,0.5,0.3000000000000007
1710,354.9,27.6,2.599999999999966,2.0,0.5,0.3000000000000007
1710,355.3,28.0,3.0,2.3999999999999986,0.4000000000000341,0.3999999999999986
1710,355.7,28.4,3.3999999999999773,2.799999999999997,0.39999999999997726,0.3999999999999986
1710,356.1,28.7,3.8000000000000114,3.099999999999998,0.4000000000000341,0.3000000000000007
1710,356.5,29.2,4.199999999999989,3.599999999999998,0.39999999999997726,0.5
1710,356.7,29.6,4.399999999999977,4.0,0.19999999999998863,0.40000000000000213
1710,356.8,30.0,4.5,4.399999999999999,0.10000000000002274,0.3999999999999986
1711,357.1,30.4,4.800000000000011,4.799999999999997,0.30000000000001137,0.3999999999999986
1711,357.3,30.9,5.0,5.299999999999997,0.19999999999998863,0.5
1711,357.5,31.3,5.199999999999989,5.699999999999999,0.19999999999998863,0.40000000000000213
1711,357.8,31.8,5.5,6.199999999999999,0.30000000000001137,0.5
1711,358.0,32.3,5.699999999999989,6.699999999999996,0.19999999999998863,0.49999999999999645
1711,358.2,32.8,5.899999999999977,7.199999999999996,0.19999999999998863,0.5
1711,358.3,33.2,6.0,7.600000000000001,0.10000000000002274,0.4000000000000057
1711,358.7,33.8,6.399999999999977,8.199999999999996,0.39999999999997726,0.5999999999999943
1711,358.9,34.3,6.599999999999966,8.699999999999996,0.19999999999998863,0.5
1711,359.2,34.8,6.899999999999977,9.199999999999996,0.30000000000001137,0.5
1711,359.5,35.4,7.199999999999989,9.799999999999997,0.30000000000001137,0.6000000000000014
1711,359.6,35.9,7.300000000000011,10.299999999999997,0.10000000000002274,0.5
1711,359.9,36.4,7.599999999999966,10.799999999999997,0.2999999999999545,0.5
1711,0.2,36.8,7.899999999999989,11.199999999999996,0.30000000000002275,0.3999999999999986
1711,0.5,37.4,8.199999999999989,11.799999999999997,0.3,0.6000000000000014
1711,0.7,37.9,8.399999999999988,12.299999999999997,0.19999999999999996,0.5
1711,0.9,38.5,8.599999999999987,12.899999999999999,0.20000000000000007,0.6000000000000014
1711,1.3,39.0,8.999999999999988,13.399999999999999,0.4,0.5
1711,1.5,39.6,9.199999999999987,14.0,0.19999999999999996,0.6000000000000014
