Time (ms),angleL,angleR,angDispL,angDispR,dThetaL,dThetaR
24,4.550073359949217,1.7610372152622786,0.029670597283903533,0.010471975511966214,0.029670597283903533,0.010471975511966214
24,4.569271981721155,1.7662732030182615,0.04886921905584085,0.0157079632679491,0.01919862177193732,0.005235987755982885
24,4.58323461573711,1.7715091907742444,0.0628318530717964,0.020943951023931984,0.013962634015955544,0.005235987755982885
24,4.600687908257053,1.7767451785302275,0.08028514559173949,0.02617993877991509,0.017453292519943098,0.005235987755983107
24,4.616395871525001,1.7819811662862104,0.09599310885968748,0.031415926535897976,0.01570796326794799,0.005235987755982885
24,4.639085151800928,1.7872171540421935,0.11868238913561413,0.03665191429188108,0.02268928027592665,0.005235987755983107
24,4.663519761328848,1.7924531417981764,0.1431169986635341,0.04188790204786397,0.02443460952791998,0.005235987755982885
24,4.691445029360758,1.7959438003021653,0.1710422666954443,0.04537856055185285,0.0279252680319102,0.003490658503988886
30,4.752531553180559,1.8029251173101424,0.031415926535897754,0.005235987755982885,0.031415926535897754,0.005235987755982885
36,4.806636759992383,1.811651763570114,0.02617993877991509,0.006981317007977106,0.02617993877991509,0.006981317007977106
144,4.857251308300219,1.8308503853420517,0.026179938779914202,0.012217304763960213,0.026179938779914202,0.012217304763960213
144,4.8799405885761455,1.843067690106012,0.04886921905584085,0.024434609527920426,0.02268928027592665,0.012217304763960213
144,4.900884539600078,1.8570303241219668,0.06981317007977328,0.038397243543875303,0.020943951023932428,0.013962634015954878
144,4.9218284906240095,1.8727382873899157,0.09075712110370482,0.05410520681182418,0.02094395102393154,0.015707963267948877
144,4.944517770899936,1.8884462506578645,0.11344640137963147,0.06981317007977306,0.02268928027592665,0.015707963267948877
144,4.967207051175862,1.9058995431778079,0.13613568165555723,0.08726646259971638,0.02268928027592576,0.01745329251994332
145,4.991641660703783,1.9250981649497454,0.1605702911834781,0.10646508437165392,0.02443460952792087,0.01919862177193754
145,5.012585611727714,1.9442967867216832,0.18151424220740964,0.12566370614359168,0.02094395102393154,0.019198621771937763
145,5.035274892003641,1.9669860669976094,0.20420352248333629,0.14835298641951788,0.02268928027592665,0.022689280275926205
145,5.057964172279568,1.9879300180215413,0.22689280275926293,0.16929693744344987,0.02268928027592665,0.020943951023931984
145,5.077162794051504,2.007128639793479,0.24609142453119937,0.1884955592153874,0.01919862177193643,0.01919862177193754
145,5.098106745075437,2.029817920069405,0.2670353755551327,0.21118483949131361,0.020943951023933316,0.022689280275926205
145,5.120796025351362,2.049016541841343,0.28972465583105755,0.23038346126325138,0.022689280275924872,0.019198621771937763
145,5.1399946471233005,2.069960492865275,0.30892327760299576,0.25132741228718336,0.019198621771938207,0.020943951023931984
145,5.162683927399227,2.0943951023931953,0.3316125578789224,0.2757620218151038,0.02268928027592665,0.024434609527920426
145,5.187118536927147,2.1153390534171272,0.3560471674068424,0.29670597283903577,0.02443460952791998,0.020943951023931984
145,5.209807817203074,2.132792345937071,0.37873644768276904,0.3141592653589793,0.02268928027592665,0.017453292519943542
145,5.230751768227005,2.151990967709008,0.3996803987067006,0.33335788713091663,0.02094395102393154,0.01919862177193732
