Time (ms),angleL,angleR,angDispL,angDispR,dThetaL,dThetaR
3,291.7,170.9,0.5,0.5,0.5,0.5
5,292.7,171.8,0.39999999999997726,0.5,0.39999999999997726,0.5
7,293.6,172.6,0.30000000000001137,0.4000000000000057,0.30000000000001137,0.4000000000000057
33,294.1,173.2,0.20000000000004547,0.29999999999998295,0.20000000000004547,0.29999999999998295
33,294.5,173.5,0.6000000000000227,0.5999999999999943,0.39999999999997726,0.30000000000001137
33,294.7,173.8,0.8000000000000114,0.9000000000000057,0.19999999999998863,0.30000000000001137
33,295.0,174.0,1.1000000000000227,1.0999999999999943,0.30000000000001137,0.19999999999998863
33,295.1,174.2,1.2000000000000455,1.299999999999983,0.10000000000002274,0.19999999999998863
33,295.5,174.3,1.6000000000000227,1.4000000000000057,0.39999999999997726,0.10000000000002274
33,295.8,174.6,1.900000000000034,1.6999999999999886,0.30000000000001137,0.29999999999998295
33,296.2,174.7,2.3000000000000114,1.799999999999983,0.39999999999997726,0.09999999999999432
33,296.6,175.1,2.7000000000000455,2.1999999999999886,0.4000000000000341,0.4000000000000057
33,297.0,175.3,3.1000000000000227,2.4000000000000057,0.39999999999997726,0.20000000000001705
33,297.5,175.7,3.6000000000000227,2.799999999999983,0.5,0.39999999999997726
33,297.9,176.1,4.0,3.1999999999999886,0.39999999999997726,0.4000000000000057
34,298.3,176.4,4.400000000000034,3.5,0.4000000000000341,0.30000000000001137
34,298.7,176.8,4.800000000000011,3.9000000000000057,0.39999999999997726,0.4000000000000057
34,299.1,177.3,5.2000000000000455,4.400000000000006,0.4000000000000341,0.5
34,299.6,177.6,5.7000000000000455,4.699999999999989,0.5,0.29999999999998295
34,300.1,178.2,6.2000000000000455,5.299999999999983,0.5,0.5999999999999943
34,300.5,178.7,6.600000000000023,5.799999999999983,0.39999999999997726,0.5
34,301.0,179.1,7.100000000000023,6.199999999999989,0.5,0.4000000000000057
34,301.5,179.6,7.600000000000023,6.699999999999989,0.5,0.5
34,302.0,180.1,8.100000000000023,7.199999999999989,0.5,0.5
34,302.5,180.6,8.600000000000023,7.699999999999989,0.5,0.5
34,303.1,181.2,9.200000000000045,8.299999999999983,0.6000000000000227,0.5999999999999943
36,304.5,182.4,0.6000000000000227,0.5,0.6000000000000227,0.5
57,305.6,183.7,0.5,0.6999999999999886,0.5,0.6999999999999886
57,306.0,184.3,0.8999999999999773,1.3000000000000114,0.39999999999997726,0.6000000000000227
57,306.4,184.7,1.2999999999999545,1.6999999999999886,0.39999999999997726,0.39999999999997726
57,306.8,185.3,1.6999999999999886,2.3000000000000114,0.4000000000000341,0.6000000000000227
57,307.2,185.8,2.099999999999966,2.8000000000000114,0.39999999999997726,0.5
57,307.4,186.4,2.2999999999999545,3.4000000000000057,0.19999999999998863,0.5999999999999943
57,307.8,186.9,2.6999999999999886,3.9000000000000057,0.4000000000000341,0.5
57,308.3,187.5,3.1999999999999886,4.5,0.5,0.5999999999999943
57,308.9,188.1,3.7999999999999545,5.099999999999994,0.5999999999999659,0.5999999999999943
57,309.3,188.6,4.199999999999989,5.599999999999994,0.4000000000000341,0.5
57,309.7,189.1,4.599999999999966,6.099999999999994,0.39999999999997726,0.5
57,310.3,189.7,5.199999999999989,6.699999999999989,0.6000000000000227,0.5999999999999943
