Time (ms),angleL,angleR,angDispL,angDispR,dThetaL,dThetaR
5542,1.1239920382843482,1.965240737745615,0.02617993877991487,0.013962634015954434,0.02617993877991487,0.013962634015954434
Time (ms),angleL,angleR,angDispL,angDispR,dThetaL,dThetaR
10827,1.1641346110802178,1.980948701013564,0.019198621771937763,0.006981317007977328,0.019198621771937763,0.006981317007977328
13110,1.1798425743481666,1.9844393595175527,0.03490658503988664,0.010471975511965992,0.015707963267948877,0.003490658503988664
15381,1.19729586686811,1.99142067652553,0.05235987755982996,0.01745329251994332,0.01745329251994332,0.006981317007977328
17645,1.2164944886400477,2.0018926520374962,0.07155849933176772,0.027925268031909534,0.019198621771937763,0.010471975511966214
19908,1.2322024519079966,2.012364627549462,0.0872664625997166,0.038397243543875303,0.015707963267948877,0.01047197551196577
22168,1.24965574442794,2.0245819323134224,0.10471975511965992,0.05061454830783574,0.01745329251994332,0.012217304763960435
24426,1.2671090369478832,2.0402898955813713,0.12217304763960324,0.06632251157578462,0.01745329251994332,0.015707963267948877
26687,1.2845623294678266,2.054252529597326,0.13962634015954656,0.08028514559173927,0.01745329251994332,0.013962634015954656
28940,1.3055062804917585,2.069960492865275,0.16057029118347854,0.09599310885968815,0.020943951023931984,0.015707963267948877
31199,1.3229595730117016,2.0856684561332237,0.17802358370342164,0.11170107212763702,0.017453292519943098,0.015707963267948877
33457,1.3421581947836396,2.1031217486531673,0.19722220547535962,0.12915436464758057,0.019198621771937985,0.017453292519943542
35713,1.361356816555577,2.118829711921116,0.21642082724729694,0.14486232791552944,0.01919862177193732,0.015707963267948877
37996,1.3823007675795091,2.138028333693054,0.23736477827122915,0.1640609496874672,0.020943951023932206,0.019198621771937763
40255,1.4014993893514465,2.155481626212997,0.25656340004316647,0.1815142422074103,0.01919862177193732,0.017453292519943098
42514,1.4224433403753787,2.17293491873294,0.2775073510670987,0.1989675347273534,0.020943951023932206,0.017453292519943098
44781,1.4451326206513049,2.192133540504878,0.3001966313430249,0.21816615649929116,0.022689280275926205,0.019198621771937763
47066,1.4643312424232426,2.21307749152881,0.31939525311496264,0.23911010752322315,0.019198621771937763,0.020943951023931984
49342,1.4852751934471744,2.2322761133007476,0.3403392041388944,0.2583087292951609,0.02094395102393176,0.019198621771937763
51600,1.5044738152191122,2.2497294058206907,0.35953782591083217,0.275762021815104,0.019198621771937763,0.017453292519943098
53856,1.5254177662430441,2.2689280275926285,0.38048177693476415,0.29496064358704177,0.020943951023931984,0.019198621771937763
56140,1.5446163880149817,2.288126649364566,0.3996803987067017,0.3141592653589791,0.01919862177193754,0.01919862177193732
58396,1.567305668290908,2.3055799418845093,0.4223696789826279,0.33161255787892263,0.022689280275926205,0.017453292519943542
60647,1.5865042900628457,2.3247785636564466,0.44156830075456566,0.35081117965085995,0.019198621771937763,0.01919862177193732
62900,1.6057029118347832,2.343977185428385,0.4607669225265032,0.37000980142279816,0.01919862177193754,0.019198621771938207
65154,1.6301375213627038,2.363175807200322,0.48520153205442385,0.3892084231947355,0.024434609527920648,0.01919862177193732
67407,1.6510814723866356,2.3806290997202657,0.5061454830783556,0.406661715714679,0.02094395102393176,0.017453292519943542
69675,1.6720254234105676,2.398082392240209,0.5270894341022876,0.4241150082346221,0.020943951023931984,0.017453292519943098
71931,1.6929693744344996,2.4155356847601523,0.5480333851262196,0.44156830075456566,0.020943951023931984,0.017453292519943542
74187,1.7174039839624204,2.4329889772800954,0.5724679946541404,0.45902159327450875,0.02443460952792087,0.017453292519943098
76440,1.7348572764823638,2.452187599052033,0.5899212871740838,0.4782202150464465,0.01745329251994332,0.019198621771937763
78697,1.7592918860102842,2.4696408915719763,0.6143558967020042,0.4956735075663896,0.024434609527920426,0.017453292519943098
80951,1.7802358370342162,2.4888395133439136,0.6352998477259362,0.5148721293383269,0.020943951023931984,0.01919862177193732
83203,1.8011797880581482,2.506292805863857,0.6562437987498682,0.5323254218582705,0.020943951023931984,0.017453292519943542
85475,1.8203784098300857,2.5254914276357945,0.6754424205218057,0.5515240436302078,0.01919862177193754,0.01919862177193732
87730,1.8395770316020235,2.5446900494077327,0.6946410422937435,0.570722665402146,0.019198621771937763,0.019198621771938207
90030,1.8605209826259552,2.562143341927676,0.7155849933176752,0.5881759579220891,0.02094395102393176,0.017453292519943098
92299,1.879719604397893,2.5813419636996136,0.734783615089613,0.6073745796940269,0.019198621771937763,0.019198621771937763
94557,1.8971728969178363,2.600540585471551,0.7522369076095563,0.6265732014659642,0.01745329251994332,0.01919862177193732
96809,1.9163715186897738,2.6179938779914944,0.7714355293814938,0.6440264939859077,0.01919862177193754,0.017453292519943542
99086,1.9390607989657,2.6354471705114375,0.79412480965742,0.6614797865058508,0.022689280275926205,0.017453292519943098
101338,1.960004749989632,2.652900463031381,0.815068760681352,0.6789330790257944,0.020943951023931984,0.017453292519943542
103590,1.9774580425095754,2.670353755551324,0.8325220532012954,0.6963863715457375,0.01745329251994332,0.017453292519943098
105842,1.9984019935335073,2.6878070480712677,0.8534660042252273,0.713839664065681,0.020943951023931984,0.017453292519943542
108178,2.0158552860534504,2.705260340591211,0.8709192967451704,0.7312929565856241,0.017453292519943098,0.017453292519943098
110508,2.0402898955813713,2.722713633111154,0.8953539062730913,0.7487462491055672,0.02443460952792087,0.017453292519943098
112826,2.059488517353309,2.7419122548830916,0.9145525280450291,0.767944870877505,0.019198621771937763,0.019198621771937763
115162,2.0786871391252464,2.7593655474030347,0.9337511498169664,0.7853981633974481,0.01919862177193732,0.017453292519943098
117480,2.0961404316451895,2.780309498426967,0.9512044423369095,0.8063421144213805,0.017453292519943098,0.020943951023932428
119796,2.111848394913139,2.7995081201989045,0.9669124056048588,0.8255407361933178,0.01570796326794932,0.01919862177193732
