Time (ms),angleL,angleR,angDispL,angDispR,dThetaL,dThetaR
2715,324.9,59.3,1.2999999999999545,0.8999999999999986,1.2999999999999545,0.8999999999999986
2715,326.1,59.9,2.5,1.5,1.2000000000000455,0.6000000000000014
2715,327.1,60.5,3.5,2.1000000000000014,1.0,0.6000000000000014
2715,327.8,61.2,4.199999999999989,2.8000000000000043,0.6999999999999886,0.7000000000000028
2715,328.1,61.9,4.5,3.5,0.30000000000001137,0.6999999999999957
2715,328.2,62.6,4.599999999999966,4.200000000000003,0.0999999999999659,0.7000000000000028
2715,328.7,63.4,5.099999999999966,5.0,0.5,0.7999999999999972
2715,329.3,64.2,5.699999999999989,5.800000000000004,0.6000000000000227,0.8000000000000043
2715,330.1,65.0,6.5,6.600000000000001,0.8000000000000114,0.7999999999999972
2715,331.0,66.0,7.399999999999977,7.600000000000001,0.8999999999999773,1.0
2715,331.9,66.9,8.299999999999955,8.500000000000007,0.8999999999999773,0.9000000000000057
2715,332.8,67.8,9.199999999999989,9.399999999999999,0.9000000000000341,0.8999999999999915
2715,333.5,68.7,9.899999999999977,10.300000000000004,0.6999999999999886,0.9000000000000057
2715,334.2,69.6,10.599999999999966,11.199999999999996,0.6999999999999886,0.8999999999999915
2716,334.8,70.6,11.199999999999989,12.199999999999996,0.6000000000000227,1.0
2716,335.5,71.6,11.899999999999977,13.199999999999996,0.6999999999999886,1.0
2716,336.3,72.5,12.699999999999989,14.100000000000001,0.8000000000000114,0.9000000000000057
2716,337.0,73.5,13.399999999999977,15.100000000000001,0.6999999999999886,1.0
2716,337.6,74.4,14.0,16.000000000000007,0.6000000000000227,0.9000000000000057
2716,338.3,75.5,14.699999999999989,17.1,0.6999999999999886,1.0999999999999943
2716,338.8,76.6,15.199999999999989,18.199999999999996,0.5,1.0999999999999943
2716,339.4,77.5,15.799999999999955,19.1,0.5999999999999659,0.9000000000000057
2716,340.0,78.6,16.399999999999977,20.199999999999996,0.6000000000000227,1.0999999999999943
2716,340.6,79.7,17.0,21.300000000000004,0.6000000000000227,1.1000000000000085
2716,341.1,80.7,17.5,22.300000000000004,0.5,1.0
2716,341.6,81.8,18.0,23.4,0.5,1.0999999999999943
2716,341.9,82.7,18.299999999999955,24.300000000000004,0.2999999999999545,0.9000000000000057
2716,342.4,83.8,18.799999999999955,25.4,0.5,1.0999999999999943
2716,342.8,84.9,19.19999999999999,26.500000000000007,0.4000000000000341,1.1000000000000085
2716,343.1,85.9,19.5,27.500000000000007,0.30000000000001137,1.0
2716,343.4,87.0,19.799999999999955,28.6,0.2999999999999545,1.0999999999999943
2716,343.7,88.0,20.099999999999966,29.6,0.30000000000001137,1.0
2716,344.2,89.2,20.599999999999966,30.800000000000004,0.5,1.2000000000000028
2716,344.6,90.4,21.0,32.00000000000001,0.4000000000000341,1.2000000000000028
2716,345.1,91.5,21.5,33.1,0.5,1.0999999999999943
2716,345.4,92.6,21.799999999999955,34.199999999999996,0.2999999999999545,1.0999999999999943
2716,345.7,93.9,22.099999999999966,35.50000000000001,0.30000000000001137,1.3000000000000114
2716,345.9,95.0,22.299999999999955,36.6,0.19999999999998863,1.0999999999999943
2716,346.3,96.2,22.69999999999999,37.800000000000004,0.4000000000000341,1.2000000000000028
2716,346.5,97.2,22.899999999999977,38.800000000000004,0.19999999999998863,1.0
2716,346.8,98.4,23.19999999999999,40.00000000000001,0.30000000000001137,1.2000000000000028
2716,347.1,99.5,23.5,41.1,0.30000000000001137,1.0999999999999943
2716,347.3,100.6,23.69999999999999,42.199999999999996,0.19999999999998863,1.0999999999999943
2716,347.6,101.8,24.0,43.4,0.30000000000001137,1.2000000000000028
2716,347.7,102.9,24.099999999999966,44.50000000000001,0.0999999999999659,1.1000000000000085
2716,347.9,104.0,24.299999999999955,45.6,0.19999999999998863,1.0999999999999943
2716,348.1,105.0,24.5,46.6,0.20000000000004547,1.0
2716,348.4,106.1,24.799999999999955,47.699999999999996,0.2999999999999545,1.0999999999999943
2716,348.4,107.2,24.799999999999955,48.800000000000004,0.0,1.1000000000000085
2716,348.6,108.4,25.0,50.00000000000001,0.20000000000004547,1.2000000000000028
2716,348.6,109.5,25.0,51.1,0.0,1.0999999999999943
2716,348.8,110.7,25.19999999999999,52.300000000000004,0.19999999999998863,1.2000000000000028
2717,348.8,111.8,25.19999999999999,53.4,0.0,1.0999999999999943
2717,348.8,112.9,25.19999999999999,54.50000000000001,0.0,1.1000000000000085
2717,348.8,114.0,25.19999999999999,55.6,0.0,1.0999999999999943
2717,348.9,115.1,25.299999999999955,56.699999999999996,0.0999999999999659,1.0999999999999943
2717,348.9,116.2,25.299999999999955,57.800000000000004,0.0,1.1000000000000085
2717,348.9,117.3,25.299999999999955,58.9,0.0,1.0999999999999943
2717,348.9,118.5,25.299999999999955,60.1,0.0,1.2000000000000028
2717,348.8,119.6,385.2,61.199999999999996,359.90000000000003,1.0999999999999943
2717,348.9,120.7,385.29999999999995,62.300000000000004,0.0999999999999659,1.1000000000000085
2717,348.8,121.8,745.2,63.4,359.90000000000003,1.0999999999999943
2717,348.8,122.9,745.2,64.5,0.0,1.1000000000000085
2717,348.7,124.1,1105.1,65.69999999999999,359.9,1.1999999999999886
2717,348.8,125.2,1105.1999999999998,66.8,0.10000000000002274,1.1000000000000085
